hard  HH AA R D
evil  IY V AH L
exact  IH G Z AE K T
excellent  EH K S AH L AH N T
faint  F EY N T
fair  F EH R
fake  F EY K
false  F AO L S
familiar  F AH M IH L Y ER
family  F AE M AH L IY
famous  F EY M AH S
fancy  F AE N S IY
far  F AA R
fast  F AE S T
favorite  F EY V ER IH T
federal  F EH D ER AH L
female  F IY M EY L
few  F Y UW
fierce  F IH R S
final  F AY N AH L
financial  F AH N AE N SH AH L
firm  F ER M
first  F ER S T
fit  F IH T
flat  F L AE T
flexible  F L EH K S AH B AH L
gay  G EY
general  JH EH N ER AH L
genuine  JH EH N Y UW AH N
glad  G L AE D
golden  G OW L D AH N
graceful  G R EY S F AH L
gradual  G R AE JH UW AH L
grand  G R AE N D
grateful  G R EY T F AH L
gray  G R EY
great  G R EY T
green  G R IY N
half  HH AE F
handsome  HH AE N S AH M
harsh  HH AA R SH
healthy  HH EH L TH IY
heavy  HH EH V IY
heel  HH IY L
helpful  HH EH L P F AH L
her  HH ER
his  HH IH Z
historical  HH IH S T AO R IH K AH L
hollow  HH AA L OW
holy  HH OW L IY
hopeful  HH OW P F AH L
horizontal  HH AO R AH Z AA N T AH L
hot  HH AA T
huge  HH Y UW JH
identical  AY D EH N T IH K AH L
ill  IH L
imaginary  IH M AE JH AH N EH R IY
immediate  IH M IY D IY AH T
immoral  IH M AO R AH L
neutral  N UW T R AH L
new  N UW
next  N EH K S T
no  N OW
noisy  N OY Z IY
objective  AH B JH EH K T IH V
obvious  AA B V IY AH S
odd  AA D
offensive  AH F EH N S IH V
official  AH F IH SH AH L
often  AO F T AH N
old  OW L D
on  AA N
one  W AH N
ordinary  AO R D AH N EH R IY
original  ER IH JH AH N AH L
our  AW ER
pale  P EY L
parallel  P EH R AH L EH L
particular  P ER T IH K Y AH L ER
peaceful  P IY S F AH L
perfect  P ER F EH K T
permanent  P ER M AA N EH N T
personal  P ER S IH N AH L
physical  F IH Z IH K AH L
plain  P L EY N
plastic  P L AE S T IH K
pleasant  P L EH Z AH N T
poisonous  P OY Z AH N AH S
polite  P AH L AY T
political  P AH L IH T AH K AH L
poor  P UW R
popular  P AA P Y AH L ER
positive  P AA Z AH T IH V
possible  P AA S AH B AH L
powerful  P AW ER F AH L
pregnant  P R EH G N AH N T
pretty  P R IH T IY
previous  P R IY V IY AH S
primary  P R AY M EH R IY
principal  P R IH N S AH P AH L
prior  P R AY ER
private  P R AY V AH T
probable  P R AA B AH B AH L
quiet  K W AY AH T
racial  R EY SH AH L
radical  R AE D IH K AH L
rapid  R AE P AH D
rare  R EH R
raw  R AA
ready  R EH D IY
real  R IY L
realistic  R IY AH L IH S T IH K
reasonable  R IY Z AH N AH B AH L
recent  R IY S AH N T
red  R EH D
regular  R EH G Y AH L ER
relative  R EH L AH T IH V
relevant  R EH L AH V AH N T
religious  R IH L IH JH AH S
remarkable  R IH M AA R K AH B AH L
responsible  R IY S P AA N S AH B AH L
sad  S AE D
safe  S EY F
scientific  S AY AH N T IH F IH K
secondary  S EH K AH N D EH R IY
secret  S IY K R AH T
secure  S IH K Y UH R
senior  S IY N Y ER
several  S EH V ER AH L
severe  S AH V IH R
sexual  S EH K SH UW AH L
shallow  SH AE L OW
shame  SH EY M
sharp  SH AA R P
short  SH AO R T
shot  SH AA T
sick  S IH K
significant  S AH G N IH F IH K AH N T
silent  S AY L AH N T
silly  S IH L IY
silver  S IH L V ER
similar  S IH M AH L ER
simple  S IH M P AH L
single  S IH NG G AH L
slight  S L AY T
slow  S L OW
small  S M AO L
smart  S M AA R T
smooth  S M UW DH
social  S OW SH AH L
soft  S AA F T
solid  S AA L AH D
some  S AH M
sorry  S AA R IY
sour  S AW ER
southern  S AH DH ER N
special  S P EH SH AH L
specific  S P AH S IH F IH K
spicy  S P AY S IY
spiritual  S P IH R IH CH UW AH L
standard  S T AE N D ER D
standby  S T AE N D B AY
steady  S T EH D IY
steep  S T IY P
sticky  S T IH K IY
stiff  S T IH F
still  S T IH L
straight  S T R EY T
strange  S T R EY N JH
strict  S T R IH K T
strong  S T R AO NG
stupid  S T UW P AH D
style  S T AY L
substantial  S AH B S T AE N SH AH L
successful  S AH K S EH S F AH L
sudden  S AH D AH N
sue  S UW
sufficient  S AH F IH SH AH N T
suitable  S UW T AH B AH L
tall  T AO L
technical  T EH K N IH K AH L
temporary  T EH M P ER EH R IY
tense  T EH N S
terrible  T EH R AH B AH L
their  DH EH R
thick  TH IH K
thin  TH IH N
thirsty  TH ER S T IY
thorough  TH ER OW
tight  T AY T
tiny  T AY N IY
top  T AA P
total  T OW T AH L
tough  T AH F
traditional  T R AH D IH SH AH N AH L
traffic  T R AE F IH K
transparent  T R AE N S P EH R AH N T
tropical  T R AA P IH K AH L
ugly  AH G L IY
unable  AH N EY B AH L
uncle  AH NG K AH L
underground  AH N D ER G R AW N D
unemployed  AH N EH M P L OY D
unfortunate  AH N F AO R CH AH N AH T
unhappy  AH N HH AE P IY
unique  Y UW N IY K
universal  Y UW N AH V ER S AH L
unknown  AH N N OW N
unlike  AH N L AY K
unusual  AH N Y UW ZH UW AH L
upper  AH P ER
upset  AH P S EH T
urban  ER B AH N
urgent  ER JH AH N T
useful  Y UW S F AH L
usual  Y UW ZH AH W AH L
valuable  V AE L Y AH B AH L
various  V EH R IY AH S
vast  V AE S T
violent  V AY AH L AH N T
visible  V IH Z AH B AH L
weak  W IY K
well  W EH L
western  W EH S T ER N
wet  W EH T
whole  HH OW L
wide  W AY D
widespread  W AY D S P R EH D
wild  W AY L D
willing  W IH L IH NG
wise  W AY Z
wonderful  W AH N D ER F AH L
wooden  W UH D AH N
worse  W ER S
yellow  Y EH L OW
young  Y AH NG
your  Y AO R
